name,gid
"blackrunner","1207829763483490"
"bluerunner","1207829793422581"
"silverexplorer","1207829764220636"
"f250","1207830046839716"
"hbchevy","1207829793534847"
"tundra","1207829764622760"
"oldhiace","1207830044957460"
"porquera","1207829765328697"
"sienna","1207829765363025"
"taurus","1207829790835824"
"tractor","1207830047269058"
"whitetacoma","1207830047290647"
"avalanche","1207829763694963"
"blueexplorer","1207829793577187"
"frtacoma","1207830047370800"
"flatbed","1207829765588988"
"shop","1207829765606838"